"name","github_url","run_date","validated_metadata","validated_data","published","ok_on_datahub","validated_metadata_message","validated_data_message"
"airport-codes","https://github.com/datasets/airport-codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"bond-yields-uk-10y","https://github.com/datasets/bond-yields-uk-10y","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"bond-yields-us-10y","https://github.com/datasets/bond-yields-us-10y","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"cash-surplus-deficit","https://github.com/datasets/cash-surplus-deficit","2017-08-01T14:20:38.767Z",true,true,"true","","",""
"co2-fossil-global","https://github.com/datasets/co2-fossil-global","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"co2-ppm","https://github.com/datasets/co2-ppm","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"cofog","https://github.com/datasets/cofog","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"continent-codes","https://github.com/datasets/continent-codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/resources/0/sources/0"" in descriptor and\n          at ""/properties/resources/items/properties/sources/items/required/0"" in profile",""
"corruption-perceptions-index","https://github.com/datasets/corruption-perceptions-index","2017-08-01T14:20:38.767Z",true,true,"true","","",""
"country-codes","https://github.com/datasets/country-codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"country-list","https://github.com/datasets/country-list","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"cpi","https://github.com/datasets/cpi","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: name\n          at ""/resources/0"" in descriptor and\n          at ""/properties/resources/items/required/0"" in profile",""
"cpi-us","https://github.com/datasets/cpi-us","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"currency-codes","https://github.com/datasets/currency-codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
